"year","month","day","tmax","measurement.flag.7","quality.flag.7","source.flag.7","tmin","measurement.flag.8","quality.flag.8","source.flag.8"
2000,3,14,70,NA,NA,"W",48,NA,NA,"W"
2000,3,15,68,NA,NA,"W",46,NA,NA,"W"
2000,3,16,64,NA,NA,"W",53,NA,NA,"W"
2000,3,17,57,NA,NA,"W",46,NA,NA,"W"
2000,3,18,65,NA,NA,"W",39,NA,NA,"W"
2000,3,19,68,NA,NA,"W",42,NA,NA,"W"
2000,3,20,73,NA,NA,"W",48,NA,NA,"W"
2000,3,21,77,NA,NA,"W",51,NA,NA,"W"
2000,3,22,69,NA,NA,"W",47,NA,NA,"W"
2000,3,23,68,NA,NA,"W",40,NA,NA,"W"
2000,3,24,74,NA,NA,"W",46,NA,NA,"W"
2000,3,25,77,NA,NA,"W",46,NA,NA,"W"
2000,3,26,82,NA,NA,"W",48,NA,NA,"W"
2000,3,27,79,NA,NA,"W",50,NA,NA,"W"
2000,3,28,66,NA,NA,"W",47,NA,NA,"W"
2000,3,29,74,NA,NA,"W",41,NA,NA,"W"
2000,3,30,81,NA,NA,"W",43,NA,NA,"W"
2000,4,1,-9999,NA,NA," ",-9999,NA,NA,"W"
2000,4,2,83,NA,NA,"W",57,NA,NA,"W"
2000,4,3,84,NA,NA,"W",52,NA,NA,"W"
2000,4,4,81,NA,NA,"W",51,NA,NA,"W"
2000,4,5,76,NA,NA,"W",51,NA,NA,"W"
2000,4,6,75,NA,NA,"W",45,NA,NA,"W"
2000,4,7,68,NA,NA,"W",50,NA,NA,"W"
2000,4,8,77,NA,NA,"W",57,NA,NA,"W"
2000,4,9,76,NA,NA,"W",52,NA,NA,"W"
2000,4,10,68,NA,NA,"W",48,NA,NA,"W"
2000,4,11,70,NA,NA,"W",45,NA,NA,"W"
2000,4,12,76,NA,NA,"W",40,NA,NA,"W"
2000,4,13,80,NA,NA,"W",48,NA,NA,"W"
2000,4,14,76,NA,NA,"W",48,NA,NA,"W"
2000,4,15,70,NA,NA,"W",51,NA,NA,"W"
2000,4,16,65,NA,NA,"W",50,NA,NA,"W"
2000,4,17,73,NA,NA,"W",50,NA,NA,"W"
2000,4,18,83,NA,NA,"W",51,NA,NA,"W"
2000,4,19,89,NA,NA,"W",57,NA,NA,"W"
2000,4,20,94,NA,NA,"W",59,NA,NA,"W"
2000,4,21,98,NA,NA,"W",60,NA,NA,"W"
2000,4,22,100,NA,NA,"W",61,NA,NA,"W"
2000,4,23,92,NA,NA,"W",66,NA,NA,"W"
2000,4,24,89,NA,NA,"W",61,NA,NA,"W"
2000,4,25,82,NA,NA,"W",56,NA,NA,"W"
2000,4,26,88,NA,NA,"W",58,NA,NA,"W"
2000,4,27,91,NA,NA,"W",56,NA,NA,"W"
2000,4,28,92,NA,NA,"W",55,NA,NA,"W"
2000,4,29,87,NA,NA,"W",57,NA,NA,"W"
2000,4,30,83,NA,NA,"W",48,NA,NA,"W"
2000,4,31,83,NA,NA,"W",54,NA,NA,"W"
2000,5,1,90,NA,NA,"W",49,NA,NA,"W"
2000,5,2,92,NA,NA,"W",55,NA,NA,"W"
2000,5,3,92,NA,NA,"W",54,NA,NA,"W"
2000,5,4,98,NA,NA,"W",56,NA,NA,"W"
2000,5,5,83,NA,NA,"W",53,NA,NA,"W"
2000,5,6,87,NA,NA,"W",54,NA,NA,"W"
2000,5,7,-9999,NA,NA," ",-9999,NA,NA,"W"
2000,5,8,68,NA,NA,"W",54,NA,NA,"W"
2000,5,9,78,NA,NA,"W",51,NA,NA,"W"
2000,5,10,80,NA,NA,"W",52,NA,NA,"W"
2000,5,11,85,NA,NA,"W",51,NA,NA,"W"
2000,5,12,90,NA,NA,"W",63,NA,NA,"W"
2000,5,13,95,NA,NA,"W",64,NA,NA,"W"
2000,5,14,105,NA,NA,"W",67,NA,NA,"W"
2000,5,15,104,NA,NA,"W",67,NA,NA,"W"
2000,5,16,98,NA,NA,"W",67,NA,NA,"W"
2000,5,17,93,NA,NA,"W",64,NA,NA,"W"
2000,5,18,87,NA,NA,"W",61,NA,NA,"W"
2000,5,19,90,NA,NA,"W",59,NA,NA,"W"
2000,5,20,98,NA,NA,"W",65,NA,NA,"W"
2000,5,21,100,NA,NA,"W",64,NA,NA,"W"
2000,5,23,96,NA,NA," ",68,NA,NA,"W"
2000,5,24,93,NA,NA,"W",60,NA,NA,"W"
2000,5,25,97,NA,NA,"W",63,NA,NA,"W"
2000,5,26,99,NA,NA,"W",63,NA,NA,"W"
2000,5,27,101,NA,NA,"W",64,NA,NA,"W"
2000,5,28,-9999,NA,NA,"W",-9999,NA,NA,"W"
2000,5,29,99,NA,NA,"W",65,NA,NA,"W"
2000,5,30,95,NA,NA,"W",62,NA,NA,"W"
2000,6,1,89,NA,NA,"W",55,NA,NA,"W"
2000,6,2,87,NA,NA,"W",57,NA,NA,"W"
2000,6,3,82,NA,NA,"W",50,NA,NA,"W"
2000,6,4,86,NA,NA,"W",53,NA,NA,"W"
2000,6,5,82,NA,NA,"W",54,NA,NA,"W"
2000,6,6,84,NA,NA,"W",53,NA,NA,"W"
2000,6,7,83,NA,NA,"W",55,NA,NA,"W"
2000,6,8,86,NA,NA,"W",56,NA,NA,"W"
2000,6,9,91,NA,NA,"W",56,NA,NA,"W"
2000,6,10,92,NA,NA,"W",60,NA,NA,"W"
2000,6,11,94,NA,NA,"W",60,NA,NA,"W"
2000,6,12,89,NA,NA,"W",62,NA,NA,"W"
2000,6,13,89,NA,NA,"W",59,NA,NA,"W"
2000,6,14,94,NA,NA,"W",58,NA,NA,"W"
2000,6,15,94,NA,NA,"W",65,NA,NA,"W"
2000,6,16,87,NA,NA,"W",61,NA,NA,"W"
2000,6,17,85,NA,NA,"W",56,NA,NA,"W"
2000,6,18,91,NA,NA,"W",56,NA,NA,"W"
2000,6,19,95,NA,NA,"W",56,NA,NA,"W"
2000,6,20,96,NA,NA,"W",59,NA,NA,"W"
2000,6,21,97,NA,NA,"W",60,NA,NA,"W"
2000,6,22,93,NA,NA,"W",58,NA,NA,"W"
2000,6,23,98,NA,NA,"W",58,NA,NA,"W"
2000,6,24,99,NA,NA,"W",60,NA,NA,"W"
2000,6,25,97,NA,NA,"W",62,NA,NA,"W"
2000,6,26,93,NA,NA,"W",59,NA,NA,"W"
2000,6,27,90,NA,NA,"W",56,NA,NA,"W"
2000,6,28,96,NA,NA,"W",59,NA,NA,"W"
2000,6,29,100,NA,NA,"W",60,NA,NA,"W"
2000,6,30,-9999,NA,NA," ",-9999,NA,NA," "
2000,6,31,-9999,NA,NA," ",-9999,NA,NA,"W"
2000,7,1,104,NA,NA,"W",71,NA,NA,"W"
2000,7,2,104,NA,NA,"W",70,NA,NA,"W"
2000,7,3,101,NA,NA,"W",71,NA,NA,"W"
2000,7,4,98,NA,NA,"W",64,NA,NA,"W"
2000,7,5,99,NA,NA,"W",64,NA,NA,"W"
2000,7,6,97,NA,NA,"W",61,NA,NA,"W"
2000,7,7,93,NA,NA,"W",61,NA,NA,"W"
2000,7,8,92,NA,NA,"W",58,NA,NA,"W"
2000,7,9,92,NA,NA,"W",60,NA,NA,"W"
2000,7,10,88,NA,NA,"W",57,NA,NA,"W"
2000,7,11,94,NA,NA,"W",55,NA,NA,"W"
2000,7,12,99,NA,NA,"W",58,NA,NA,"W"
2000,7,13,97,NA,NA,"W",58,NA,NA,"W"
2000,7,14,100,NA,NA,"W",55,NA,NA,"W"
2000,7,15,97,NA,NA,"W",57,NA,NA,"W"
2000,7,16,99,NA,NA,"W",55,NA,NA,"W"
2000,7,17,98,NA,NA,"W",59,NA,NA,"W"
2000,7,18,93,NA,NA,"W",57,NA,NA,"W"
2000,7,19,89,NA,NA,"W",55,NA,NA,"W"
2000,7,20,89,NA,NA,"W",53,NA,NA,"W"
2000,7,21,92,NA,NA,"W",55,NA,NA,"W"
2000,7,22,93,NA,NA,"W",56,NA,NA,"W"
2000,7,23,90,NA,NA,"W",60,NA,NA,"W"
2000,7,24,93,NA,NA,"W",56,NA,NA,"W"
2000,7,25,97,NA,NA,"W",60,NA,NA,"W"
2000,7,26,97,NA,NA,"W",61,NA,NA,"W"
2000,7,27,95,NA,NA,"W",62,NA,NA,"W"
2000,7,28,93,NA,NA,"W",62,NA,NA,"W"
2000,7,29,72,NA,NA,"W",64,NA,NA,"W"
2000,7,30,75,NA,NA,"W",61,NA,NA,"W"
2000,7,31,79,NA,NA,"W",55,NA,NA,"W"
2000,8,1,74,NA,NA,"W",60,NA,NA,"W"
2000,8,2,75,NA,NA,"W",56,NA,NA,"W"
2000,8,3,78,NA,NA,"W",58,NA,NA,"W"
2000,8,4,78,NA,NA,"W",55,NA,NA,"W"
2000,8,5,82,NA,NA,"W",48,NA,NA,"W"
2000,8,6,85,NA,NA,"W",46,NA,NA,"W"
2000,8,7,92,NA,NA,"W",51,NA,NA,"W"
2000,8,8,95,NA,NA,"W",52,NA,NA,"W"
2000,8,9,90,NA,NA,"W",52,NA,NA,"W"
2000,8,10,91,NA,NA,"W",52,NA,NA,"W"
2000,8,11,95,NA,NA,"W",52,NA,NA,"W"
2000,8,12,89,NA,NA,"W",52,NA,NA,"W"
2000,8,13,97,NA,NA,"W",63,NA,NA,"W"
2000,8,14,89,NA,NA,"W",66,NA,NA,"W"
2000,8,15,87,NA,NA,"W",62,NA,NA,"W"
2000,8,16,88,NA,NA,"W",54,NA,NA,"W"
2000,8,17,93,NA,NA,"W",53,NA,NA,"W"
2000,8,18,99,NA,NA,"W",58,NA,NA,"W"
2000,8,19,99,NA,NA,"W",60,NA,NA,"W"
2000,8,20,100,NA,NA,"W",65,NA,NA,"W"
2000,8,21,82,NA,NA,"W",59,NA,NA,"W"
2000,8,22,77,NA,NA,"W",60,NA,NA,"W"
2000,8,23,81,NA,NA,"W",57,NA,NA,"W"
2000,8,25,92,NA,NA,"W",51,NA,NA,"W"
2000,8,26,92,NA,NA,"W",52,NA,NA,"W"
2000,8,27,85,NA,NA,"W",54,NA,NA,"W"
2000,8,28,78,NA,NA,"W",55,NA,NA,"W"
2000,8,29,81,NA,NA,"W",50,NA,NA,"W"
2000,8,30,89,NA,NA,"W",57,NA,NA,"W"
2000,9,1,93,NA,NA,"W",58,NA,NA,"W"
2000,9,2,90,NA,NA,"W",56,NA,NA,"W"
2000,9,3,84,NA,NA,"W",54,NA,NA,"W"
2000,9,4,83,NA,NA,"W",52,NA,NA,"W"
2000,9,5,85,NA,NA,"W",50,NA,NA,"W"
2000,9,6,86,NA,NA,"W",55,NA,NA,"W"
2000,9,7,-9999,NA,NA,"W",-9999,NA,NA,"W"
2000,9,8,83,NA,NA,"W",52,NA,NA,"W"
2000,9,9,76,NA,NA,"W",53,NA,NA,"W"
2000,9,10,59,NA,NA,"W",49,NA,NA,"W"
2000,9,11,63,NA,NA,"W",52,NA,NA,"W"
2000,9,12,65,NA,NA,"W",46,NA,NA,"W"
2000,9,13,72,NA,NA,"W",46,NA,NA,"W"
2000,9,14,73,NA,NA,"W",46,NA,NA,"W"
2000,9,15,77,NA,NA,"W",48,NA,NA,"W"
2000,9,16,79,NA,NA,"W",47,NA,NA,"W"
2000,9,17,83,NA,NA,"W",48,NA,NA,"W"
2000,9,18,81,NA,NA,"W",49,NA,NA,"W"
2000,9,19,79,NA,NA,"W",46,NA,NA,"W"
2000,9,20,77,NA,NA,"W",47,NA,NA,"W"
2000,9,21,71,NA,NA,"W",48,NA,NA,"W"
2000,9,22,74,NA,NA,"W",45,NA,NA,"W"
2000,9,23,74,NA,NA,"W",41,NA,NA,"W"
2000,9,24,78,NA,NA,"W",45,NA,NA,"W"
2000,9,25,71,NA,NA,"W",46,NA,NA,"W"
2000,9,26,59,NA,NA,"W",48,NA,NA,"W"
2000,9,27,64,NA,NA,"W",47,NA,NA,"W"
2000,9,28,66,NA,NA,"W",45,NA,NA,"W"
2000,9,29,60,NA,NA,"W",45,NA,NA,"W"
2000,9,30,61,NA,NA,"W",42,NA,NA,"W"
2000,9,31,62,NA,NA,"W",43,NA,NA,"W"
2000,10,1,63,NA,NA,"W",44,NA,NA,"W"
2000,10,2,65,NA,NA,"W",44,NA,NA,"W"
2000,10,3,68,NA,NA,"W",42,NA,NA,"W"
2000,10,4,70,NA,NA,"W",44,NA,NA,"W"
2000,10,5,64,NA,NA,"W",42,NA,NA,"W"
2000,10,6,67,NA,NA,"W",41,NA,NA,"W"
2000,10,7,64,NA,NA,"W",43,NA,NA,"W"
2000,10,8,67,NA,NA,"W",43,NA,NA,"W"
2000,10,9,58,NA,NA,"W",40,NA,NA,"W"
2000,10,10,56,NA,NA,"W",36,NA,NA,"W"
2000,10,11,56,NA,NA,"W",32,NA,NA,"W"
2000,10,12,57,NA,NA,"W",31,NA,NA,"W"
2000,10,13,56,NA,NA,"W",28,NA,NA,"W"
2000,10,14,55,NA,NA,"W",33,NA,NA,"W"
2000,10,15,55,NA,NA,"W",32,NA,NA,"W"
2000,10,16,56,NA,NA,"W",36,NA,NA,"W"
2000,10,17,59,NA,NA,"W",31,NA,NA,"W"
2000,10,18,60,NA,NA,"W",31,NA,NA,"W"
2000,10,19,61,NA,NA,"W",30,NA,NA,"W"
2000,10,20,60,NA,NA,"W",31,NA,NA,"W"
2000,10,21,61,NA,NA,"W",35,NA,NA,"W"
2000,10,22,52,NA,NA,"W",36,NA,NA,"W"
2000,10,23,54,NA,NA,"W",35,NA,NA,"W"
2000,10,24,51,NA,NA,"W",38,NA,NA,"W"
2000,10,25,52,NA,NA,"W",42,NA,NA,"W"
2000,10,26,48,NA,NA,"W",44,NA,NA,"W"
2000,10,27,49,NA,NA,"W",45,NA,NA,"W"
2000,10,28,49,NA,NA,"W",36,NA,NA,"W"
2000,10,29,59,NA,NA,"W",36,NA,NA,"W"
2000,10,30,60,NA,NA,"W",38,NA,NA,"W"
2000,11,1,56,NA,NA,"W",35,NA,NA,"W"
2000,11,2,54,NA,NA,"W",37,NA,NA,"W"
2000,11,3,48,NA,NA,"W",42,NA,NA,"W"
2000,11,4,44,NA,NA,"W",41,NA,NA,"W"
2000,11,5,45,NA,NA,"W",40,NA,NA,"W"
2000,11,6,48,NA,NA,"W",39,NA,NA,"W"
2000,11,7,61,NA,NA,"W",44,NA,NA,"W"
2000,11,8,64,NA,NA,"W",42,NA,NA,"W"
2000,11,9,60,NA,NA,"W",40,NA,NA,"W"
2000,11,10,61,NA,NA,"W",40,NA,NA,"W"
2000,11,11,56,NA,NA,"W",46,NA,NA,"W"
2000,11,12,55,NA,NA,"W",36,NA,NA,"W"
2000,11,13,57,NA,NA,"W",38,NA,NA,"W"
2000,11,14,58,NA,NA,"W",45,NA,NA,"W"
2000,11,15,63,NA,NA,"W",47,NA,NA,"W"
2000,11,16,55,NA,NA,"W",37,NA,NA,"W"
2000,11,17,54,NA,NA,"W",35,NA,NA,"W"
2000,11,18,50,NA,NA,"W",32,NA,NA,"W"
2000,11,19,56,NA,NA,"W",31,NA,NA,"W"
2000,11,20,56,NA,NA,"W",30,NA,NA,"W"
2000,11,21,63,NA,NA,"W",31,NA,NA,"W"
2000,11,22,61,NA,NA,"W",36,NA,NA,"W"
2000,11,23,56,NA,NA,"W",34,NA,NA,"W"
2000,11,24,51,NA,NA,"W",32,NA,NA,"W"
2000,11,25,52,NA,NA,"W",32,NA,NA,"W"
2000,11,26,57,NA,NA,"W",31,NA,NA,"W"
2000,11,27,55,NA,NA,"W",32,NA,NA,"W"
2000,11,28,58,NA,NA,"W",27,NA,NA,"W"
